Level1,Level2,Description,Suitability
Subdivision 01: Agriculture,,,Red
Subdivision 01: Agriculture,011: Horticulture and Fruit Growing,,Amber
Subdivision 01: Agriculture,111,Plant Nurseries,Green
Subdivision 01: Agriculture,112,Cut Flower and Flower Seed Growing,Green
Subdivision 01: Agriculture,113,Vegetable Growing,Red
Subdivision 01: Agriculture,114,Grape Growing,Red
Subdivision 01: Agriculture,115,Apple and Pear Growing,Green
Subdivision 01: Agriculture,116,Stone Fruit Growing,Amber
Subdivision 01: Agriculture,117,Kiwi Fruit Growing,Green
Subdivision 01: Agriculture,119,Fruit Growing n.e.c.,Amber
Subdivision 01: Agriculture,"012: Grain, Sheep and Beef Cattle Farming",,Green
Subdivision 01: Agriculture,121,Grain Growing,Amber
Subdivision 01: Agriculture,122,Grain-Sheep and Grain-Beef Cattle Farming,Green
Subdivision 01: Agriculture,123,Sheep-Beef Cattle Farming,Green
Subdivision 01: Agriculture,124,Sheep Farming,Amber
Subdivision 01: Agriculture,125,Beef Cattle Farming,Green
Subdivision 01: Agriculture,013: Dairy Cattle Farming,,Amber
Subdivision 01: Agriculture,130,Dairy Cattle Farming,Amber
Subdivision 01: Agriculture,014: Poultry Farming,,Red
Subdivision 01: Agriculture,141,Poultry Farming (Meat),Green
Subdivision 01: Agriculture,142,Poultry Farming (Eggs),Red
Subdivision 01: Agriculture,015: Other Livestock Farming,,Amber
Subdivision 01: Agriculture,151,Pig Farming,Amber
Subdivision 01: Agriculture,152,Horse Farming,Green
Subdivision 01: Agriculture,153,Deer Farming,Amber
Subdivision 01: Agriculture,159,Livestock Farming n.e.c.,Amber
Subdivision 01: Agriculture,016: Other Crop Growing,,Red
Subdivision 01: Agriculture,161,Sugar Cane Growing,Red
Subdivision 01: Agriculture,162,Cotton Growing,Red
Subdivision 01: Agriculture,169,Crop and Plant Growing n.e.c.,Amber
Subdivision 02: Services to Agriculture; Hunting and Trapping,169,,Amber
Subdivision 02: Services to Agriculture; Hunting and Trapping,021: Services to Agriculture,,Amber
Subdivision 02: Services to Agriculture; Hunting and Trapping,211,Cotton Ginning,Red
Subdivision 02: Services to Agriculture; Hunting and Trapping,212,Shearing Services,Green
Subdivision 02: Services to Agriculture; Hunting and Trapping,213,Aerial Agricultural Services,Red
Subdivision 02: Services to Agriculture; Hunting and Trapping,219,Services to Agriculture n.e.c.,Green
Subdivision 02: Services to Agriculture; Hunting and Trapping,022: Hunting and Trapping,,Green
Subdivision 02: Services to Agriculture; Hunting and Trapping,220,Hunting and Trapping,Red
Subdivision 03: Forestry and Logging,220,,Red
Subdivision 03: Forestry and Logging,030: Forestry and Logging,,Red
Subdivision 03: Forestry and Logging,301,Forestry,Amber
Subdivision 03: Forestry and Logging,302,Logging,Amber
Subdivision 03: Forestry and Logging,303,Services to Forestry,Amber
Subdivision 04: Commercial Fishing,303,,Green
Subdivision 04: Commercial Fishing,041: Marine Fishing,,Amber
Subdivision 04: Commercial Fishing,411,Rock Lobster Fishing,Green
Subdivision 04: Commercial Fishing,412,Prawn Fishing,Red
Subdivision 04: Commercial Fishing,413,Finfish Trawling,Amber
Subdivision 04: Commercial Fishing,414,Squid Jigging,Green
Subdivision 04: Commercial Fishing,415,Line Fishing,Green
Subdivision 04: Commercial Fishing,419,Marine Fishing n.e.c.,Red
Subdivision 04: Commercial Fishing,042: Aquaculture,,Red
Subdivision 04: Commercial Fishing,420,Aquaculture,Amber
Subdivision 11: Coal Mining ,420,,Amber
Subdivision 11: Coal Mining ,110: Coal Mining,,Green
Subdivision 11: Coal Mining ,1101,Black Coal Mining,Amber
Subdivision 11: Coal Mining ,1102,Brown Coal Mining,Green
Subdivision 12: Oil and Gas Extraction,1102,,Red
Subdivision 12: Oil and Gas Extraction,120: Oil and Gas Extraction,,Red
Subdivision 12: Oil and Gas Extraction,1200,Oil and Gas Extraction,Amber
Subdivision 13: Metal Ore Mining,1200,,Amber
Subdivision 13: Metal Ore Mining,131: Metal Ore Mining,,Green
Subdivision 13: Metal Ore Mining,1311,Iron Ore Mining,Red
Subdivision 13: Metal Ore Mining,1312,Bauxite Mining,Green
Subdivision 13: Metal Ore Mining,1313,Copper Ore Mining,Green
Subdivision 13: Metal Ore Mining,1314,Gold Ore Mining,Red
Subdivision 13: Metal Ore Mining,1315,Mineral Sand Mining,Green
Subdivision 13: Metal Ore Mining,1316,Nickel Ore Mining,Amber
Subdivision 13: Metal Ore Mining,1317,Silver-Lead-Zinc Ore Mining,Red
Subdivision 13: Metal Ore Mining,1319,Metal Ore Mining n.e.c.,Red
Subdivision 14: Other Mining,1319,,Amber
Subdivision 14: Other Mining,141: Construction Material Mining,,Amber
Subdivision 14: Other Mining,1411,Gravel and Sand Quarrying,Red
Subdivision 14: Other Mining,1419,Construction Material Mining n.e.c.,Green
Subdivision 14: Other Mining,142: Mining n.e.c.,,Amber
Subdivision 14: Other Mining,1420,Mining n.e.c.,Green
Subdivision 15: Services to Mining,1420,,Red
Subdivision 15: Services to Mining,151: Exploration,,Red
Subdivision 15: Services to Mining,1511,Petroleum Exploration (Own Account),Red
Subdivision 15: Services to Mining,1512,Petroleum Exploration Services,Red
Subdivision 15: Services to Mining,1513,Mineral Exploration (Own Account),Red
Subdivision 15: Services to Mining,1514,Mineral Exploration Services,Green
Subdivision 15: Services to Mining,152: Other Mining Services,,Amber
Subdivision 15: Services to Mining,1520,Other Mining Services,Amber
"Subdivision 21: Food, Beverage and Tobacco Manufacturing",1520,,Green
"Subdivision 21: Food, Beverage and Tobacco Manufacturing",211: Meat and Meat Product Manufacturing,,Amber
"Subdivision 21: Food, Beverage and Tobacco Manufacturing",2111,Meat Processing,Red
"Subdivision 21: Food, Beverage and Tobacco Manufacturing",2112,Poultry Processing,Green
"Subdivision 21: Food, Beverage and Tobacco Manufacturing",2113,"Bacon, Ham and Smallgood Manufacturing",Red
"Subdivision 21: Food, Beverage and Tobacco Manufacturing",212: Dairy Product Manufacturing,,Red
"Subdivision 21: Food, Beverage and Tobacco Manufacturing",2121,Milk and Cream Processing,Amber
"Subdivision 21: Food, Beverage and Tobacco Manufacturing",2122,Ice Cream Manufacturing,Green
"Subdivision 21: Food, Beverage and Tobacco Manufacturing",2129,Dairy Product Manufacturing n.e.c,Red
"Subdivision 21: Food, Beverage and Tobacco Manufacturing",213: Fruit and Vegetable Processing,,Green
"Subdivision 21: Food, Beverage and Tobacco Manufacturing",2130,Fruit and Vegetable Processing,Amber
"Subdivision 21: Food, Beverage and Tobacco Manufacturing",214: Oil and Fat Manufacturing,,Red
"Subdivision 21: Food, Beverage and Tobacco Manufacturing",2140,Oil and Fat Manufacturing,Green
"Subdivision 21: Food, Beverage and Tobacco Manufacturing",215: Flour Mill and Cereal Food Manufacturing,,Amber
"Subdivision 21: Food, Beverage and Tobacco Manufacturing",2151,Flour Mill Product Manufacturing,Green
"Subdivision 21: Food, Beverage and Tobacco Manufacturing",2152,Cereal Food and Baking Mix Manufacturing,Amber
"Subdivision 21: Food, Beverage and Tobacco Manufacturing",216: Bakery Product Manufacturing,,Amber
"Subdivision 21: Food, Beverage and Tobacco Manufacturing",2161,Bread Manufacturing,Amber
"Subdivision 21: Food, Beverage and Tobacco Manufacturing",2162,Cake and Pastry Manufacturing,Amber
"Subdivision 21: Food, Beverage and Tobacco Manufacturing",2163,Biscuit Manufacturing,Amber
"Subdivision 21: Food, Beverage and Tobacco Manufacturing",217: Other Food Manufacturing,,Red
"Subdivision 21: Food, Beverage and Tobacco Manufacturing",2171,Sugar Manufacturing,Amber
"Subdivision 21: Food, Beverage and Tobacco Manufacturing",2172,Confectionery Manufacturing,Amber
"Subdivision 21: Food, Beverage and Tobacco Manufacturing",2173,Seafood Processing,Green
"Subdivision 21: Food, Beverage and Tobacco Manufacturing",2174,Prepared Animal and Bird Feed Manufacturing,Amber
"Subdivision 21: Food, Beverage and Tobacco Manufacturing",2179,Food Manufacturing n.e.c.,Amber
"Subdivision 21: Food, Beverage and Tobacco Manufacturing",218: Beverage and Malt Manufacturing,,Green
"Subdivision 21: Food, Beverage and Tobacco Manufacturing",2181,"Soft Drink, Cordial and Syrup Manufacturing",Red
"Subdivision 21: Food, Beverage and Tobacco Manufacturing",2182,Beer and Malt Manufacturing,Amber
"Subdivision 21: Food, Beverage and Tobacco Manufacturing",2183,Wine Manufacturing,Amber
"Subdivision 21: Food, Beverage and Tobacco Manufacturing",2184,Spirit Manufacturing,Red
"Subdivision 21: Food, Beverage and Tobacco Manufacturing",219: Tobacco Product Manufacturing,,Amber
"Subdivision 21: Food, Beverage and Tobacco Manufacturing",2190,Tobacco Product Manufacturing,Red
"Subdivision 22: Textile, Clothing, Footwear and Leather Manufacturing",2190,,Amber
"Subdivision 22: Textile, Clothing, Footwear and Leather Manufacturing","221: Textile Fibre, Yarn and Woven Fabric Manufacturing",,Green
"Subdivision 22: Textile, Clothing, Footwear and Leather Manufacturing",2211,Wool Scouring,Amber
"Subdivision 22: Textile, Clothing, Footwear and Leather Manufacturing",2212,Synthetic Fibre Textile Manufacturing,Red
"Subdivision 22: Textile, Clothing, Footwear and Leather Manufacturing",2213,Cotton Textile Manufacturing,Green
"Subdivision 22: Textile, Clothing, Footwear and Leather Manufacturing",2214,Wool Textile Manufacturing,Red
"Subdivision 22: Textile, Clothing, Footwear and Leather Manufacturing",2215,Textile Finishing,Green
"Subdivision 22: Textile, Clothing, Footwear and Leather Manufacturing",222: Textile Product Manufacturing,,Red
"Subdivision 22: Textile, Clothing, Footwear and Leather Manufacturing",2221,Made-Up Textile Product Manufacturing,Green
"Subdivision 22: Textile, Clothing, Footwear and Leather Manufacturing",2222,Textile Floor Covering Manufacturing,Green
"Subdivision 22: Textile, Clothing, Footwear and Leather Manufacturing",2223,"Rope, Cordage and Twine Manufacturing",Red
"Subdivision 22: Textile, Clothing, Footwear and Leather Manufacturing",2229,Textile Product Manufacturing n.e.c.,Green
"Subdivision 22: Textile, Clothing, Footwear and Leather Manufacturing",223: Knitting Mills,,Amber
"Subdivision 22: Textile, Clothing, Footwear and Leather Manufacturing",2231,Hosiery Manufacturing,Amber
"Subdivision 22: Textile, Clothing, Footwear and Leather Manufacturing",2232,Cardigan and Pullover Manufacturing,Amber
"Subdivision 22: Textile, Clothing, Footwear and Leather Manufacturing",2239,Knitting Mill Product Manufacturing n.e.c.,Red
"Subdivision 22: Textile, Clothing, Footwear and Leather Manufacturing",224: Clothing Manufacturing,,Green
"Subdivision 22: Textile, Clothing, Footwear and Leather Manufacturing",2241,Men's and Boys' Wear Manufacturing,Amber
"Subdivision 22: Textile, Clothing, Footwear and Leather Manufacturing",2242,Women's and Girls' Wear Manufacturing,Red
"Subdivision 22: Textile, Clothing, Footwear and Leather Manufacturing",2243,"Sleepwear, Underwear and Infant Clothing Manufacturing",Green
"Subdivision 22: Textile, Clothing, Footwear and Leather Manufacturing",2249,Clothing Manufacturing n.e.c.,Red
"Subdivision 22: Textile, Clothing, Footwear and Leather Manufacturing",225: Footwear Manufacturing,,Red
"Subdivision 22: Textile, Clothing, Footwear and Leather Manufacturing",2250,Footwear Manufacturing,Green
"Subdivision 22: Textile, Clothing, Footwear and Leather Manufacturing",226: Leather and Leather Product Manufacturing,,Amber
"Subdivision 22: Textile, Clothing, Footwear and Leather Manufacturing",2261,Leather Tanning and Fur Dressing,Red
"Subdivision 22: Textile, Clothing, Footwear and Leather Manufacturing",2262,Leather and Leather Substitute Product Manufacturing,Red
Subdivision 23: Wood and Paper Product Manufacturing,2262,,Red
Subdivision 23: Wood and Paper Product Manufacturing,231: Log Sawmilling and Timber Dressing,,Red
Subdivision 23: Wood and Paper Product Manufacturing,2311,Log Sawmilling,Amber
Subdivision 23: Wood and Paper Product Manufacturing,2312,Wood Chipping,Amber
Subdivision 23: Wood and Paper Product Manufacturing,2313,Timber Resawing and Dressing,Green
Subdivision 23: Wood and Paper Product Manufacturing,232: Other Wood Product Manufacturing,,Amber
Subdivision 23: Wood and Paper Product Manufacturing,2321,Plywood and Veneer Manufacturing,Green
Subdivision 23: Wood and Paper Product Manufacturing,2322,Fabricated Wood Manufacturing,Red
Subdivision 23: Wood and Paper Product Manufacturing,2323,Wooden Structural Component Manufacturing,Amber
Subdivision 23: Wood and Paper Product Manufacturing,2329,Wood Product Manufacturing n.e.c,Amber
Subdivision 23: Wood and Paper Product Manufacturing,233: Paper and Paper Product Manufacturing,,Green
Subdivision 23: Wood and Paper Product Manufacturing,2331,"Pulp, Paper and Paperboard Manufacturing",Red
Subdivision 23: Wood and Paper Product Manufacturing,2332,Solid Paperboard Container Manufacturing,Amber
Subdivision 23: Wood and Paper Product Manufacturing,2333,Corrugated Paperboard Container Manufacturing,Amber
Subdivision 23: Wood and Paper Product Manufacturing,2334,Paper Bag and Sack Manufacturing,Amber
Subdivision 23: Wood and Paper Product Manufacturing,2339,Paper Product Manufacturing n.e.c.,Red
